id,restaurant_id,customer_id,rating,comment
39,7317,4,9,Quick and tasty! Fast-casual with fresh ingredients.
40,3021,1,5,"Ideal for a romantic dinner. Dim lighting, attentive service."
41,1331,3,5,Vegetarian heaven! Flavorful plant-based options. Refreshing!
42,4886,10,10,"Disappointing. Slow service, overpriced, and lacking ambiance."
43,1290,8,3,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
44,2040,2,3,Quick and tasty! Fast-casual with fresh ingredients.
45,3102,1,6,"Ideal for a romantic dinner. Dim lighting, attentive service."
46,2919,9,10,Fantastic for special occasions. Staff went above and beyond.
47,225,6,10,Vegetarian heaven! Flavorful plant-based options. Refreshing!
48,5724,5,1,Fantastic for special occasions. Staff went above and beyond.
49,7886,5,6,Quick and tasty! Fast-casual with fresh ingredients.
50,1598,5,6,Fantastic for special occasions. Staff went above and beyond.
51,4854,9,5,Vegetarian heaven! Flavorful plant-based options. Refreshing!
52,8168,6,2,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
53,1168,8,5,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
54,5652,7,8,"Disappointing. Slow service, overpriced, and lacking ambiance."
55,9551,6,5,Quick and tasty! Fast-casual with fresh ingredients.
56,1971,2,1,"Loved it! Great atmosphere, service, and food."
57,9661,1,7,"Loved it! Great atmosphere, service, and food."
58,3142,7,2,"Perfect for family dinner! Diverse menu, accommodating staff."
59,1014,4,1,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
60,2646,2,2,"Perfect for family dinner! Diverse menu, accommodating staff."
61,9342,10,7,"Ideal for a romantic dinner. Dim lighting, attentive service."
62,5930,2,5,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
63,5699,9,1,"Ideal for a romantic dinner. Dim lighting, attentive service."
64,6948,4,5,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
65,9010,6,4,"Disappointing. Slow service, overpriced, and lacking ambiance."
66,3175,9,1,Fantastic for special occasions. Staff went above and beyond.
67,4964,1,2,"Loved it! Great atmosphere, service, and food."
68,4778,9,8,"Disappointing. Slow service, overpriced, and lacking ambiance."
69,8592,3,8,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
70,5852,2,5,"Ideal for a romantic dinner. Dim lighting, attentive service."
71,988,9,4,"Decent selection, friendly staff. Average food. Good for a quick bite."
72,5371,2,4,"Decent selection, friendly staff. Average food. Good for a quick bite."
73,5279,3,6,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
74,983,9,10,Vegetarian heaven! Flavorful plant-based options. Refreshing!
75,1510,1,3,"Loved it! Great atmosphere, service, and food."
76,2747,8,7,"Ideal for a romantic dinner. Dim lighting, attentive service."
77,7269,10,10,"Ideal for a romantic dinner. Dim lighting, attentive service."
78,5293,5,8,Must-try brunch! Creative twists on classics. Refreshing mimosas.
79,9039,4,6,"Perfect for family dinner! Diverse menu, accommodating staff."
80,6531,10,4,"Decent selection, friendly staff. Average food. Good for a quick bite."
81,9685,8,4,Quick and tasty! Fast-casual with fresh ingredients.
82,8728,1,1,"Loved it! Great atmosphere, service, and food."
83,7372,8,7,"Perfect for family dinner! Diverse menu, accommodating staff."
84,1441,1,4,"Loved it! Great atmosphere, service, and food."
85,811,6,9,Quick and tasty! Fast-casual with fresh ingredients.
86,6276,5,2,"Disappointing. Slow service, overpriced, and lacking ambiance."
87,3893,2,8,"Loved it! Great atmosphere, service, and food."
88,3524,5,6,"Ideal for a romantic dinner. Dim lighting, attentive service."
89,1078,7,7,Vegetarian heaven! Flavorful plant-based options. Refreshing!
90,7452,6,1,Vegetarian heaven! Flavorful plant-based options. Refreshing!
91,1755,5,4,"Disappointing. Slow service, overpriced, and lacking ambiance."
92,942,2,4,Fantastic for special occasions. Staff went above and beyond.
93,3930,8,6,Vegetarian heaven! Flavorful plant-based options. Refreshing!
94,5304,4,8,Vegetarian heaven! Flavorful plant-based options. Refreshing!
95,2610,7,8,"Ideal for a romantic dinner. Dim lighting, attentive service."
96,6214,9,5,"Decent selection, friendly staff. Average food. Good for a quick bite."
97,9218,4,7,"Loved it! Great atmosphere, service, and food."
98,7537,10,4,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
99,2660,4,2,"Perfect for family dinner! Diverse menu, accommodating staff."
100,8029,6,7,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
101,88,4,8,Must-try brunch! Creative twists on classics. Refreshing mimosas.
102,2216,2,5,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
103,5857,4,10,Quick and tasty! Fast-casual with fresh ingredients.
104,4178,1,9,Vegetarian heaven! Flavorful plant-based options. Refreshing!
105,7687,1,6,Vegetarian heaven! Flavorful plant-based options. Refreshing!
106,7364,4,5,"Ideal for a romantic dinner. Dim lighting, attentive service."
107,8948,2,1,"Loved it! Great atmosphere, service, and food."
108,1099,1,8,Vegetarian heaven! Flavorful plant-based options. Refreshing!
109,4043,4,10,"Disappointing. Slow service, overpriced, and lacking ambiance."
110,1513,10,10,"Ideal for a romantic dinner. Dim lighting, attentive service."
111,8693,10,9,Quick and tasty! Fast-casual with fresh ingredients.
112,865,10,5,"Perfect for family dinner! Diverse menu, accommodating staff."
113,6023,3,4,Quick and tasty! Fast-casual with fresh ingredients.
114,1974,9,1,"Perfect for family dinner! Diverse menu, accommodating staff."
115,3183,6,8,"Loved it! Great atmosphere, service, and food."
116,6550,4,6,Must-try brunch! Creative twists on classics. Refreshing mimosas.
117,2798,10,5,Must-try brunch! Creative twists on classics. Refreshing mimosas.
118,9259,6,8,Vegetarian heaven! Flavorful plant-based options. Refreshing!
119,1042,7,6,"Perfect for family dinner! Diverse menu, accommodating staff."
120,9403,3,7,Quick and tasty! Fast-casual with fresh ingredients.
121,3912,4,8,Must-try brunch! Creative twists on classics. Refreshing mimosas.
122,7126,2,5,Fantastic for special occasions. Staff went above and beyond.
123,6620,4,7,Must-try brunch! Creative twists on classics. Refreshing mimosas.
124,2902,3,1,Quick and tasty! Fast-casual with fresh ingredients.
125,3614,1,4,Vegetarian heaven! Flavorful plant-based options. Refreshing!
126,4446,9,4,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
127,4604,5,9,Vegetarian heaven! Flavorful plant-based options. Refreshing!
128,8028,9,1,Must-try brunch! Creative twists on classics. Refreshing mimosas.
129,1764,5,6,"Perfect for family dinner! Diverse menu, accommodating staff."
130,8800,1,2,Must-try brunch! Creative twists on classics. Refreshing mimosas.
131,2919,7,1,Quick and tasty! Fast-casual with fresh ingredients.
132,4641,2,3,"Loved it! Great atmosphere, service, and food."
133,7148,4,2,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
134,1523,9,5,"Loved it! Great atmosphere, service, and food."
135,6984,1,7,"Loved it! Great atmosphere, service, and food."
136,9225,1,7,Fantastic for special occasions. Staff went above and beyond.
137,5834,9,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
138,170,9,9,Must-try brunch! Creative twists on classics. Refreshing mimosas.
139,9879,2,3,"Loved it! Great atmosphere, service, and food."
140,3749,1,9,"Disappointing. Slow service, overpriced, and lacking ambiance."
141,8743,4,9,Quick and tasty! Fast-casual with fresh ingredients.
142,5447,1,8,Quick and tasty! Fast-casual with fresh ingredients.
143,2365,4,4,"Perfect for family dinner! Diverse menu, accommodating staff."
144,2089,10,4,"Loved it! Great atmosphere, service, and food."
145,1074,5,9,"Loved it! Great atmosphere, service, and food."
146,5451,10,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
147,2967,6,10,"Perfect for family dinner! Diverse menu, accommodating staff."
148,1561,1,5,Must-try brunch! Creative twists on classics. Refreshing mimosas.
149,5937,1,1,Quick and tasty! Fast-casual with fresh ingredients.
150,8318,10,9,"Ideal for a romantic dinner. Dim lighting, attentive service."
151,5842,5,3,Fantastic for special occasions. Staff went above and beyond.
152,2612,2,4,Vegetarian heaven! Flavorful plant-based options. Refreshing!
153,9051,2,1,"Perfect for family dinner! Diverse menu, accommodating staff."
154,8926,2,7,"Decent selection, friendly staff. Average food. Good for a quick bite."
155,2967,1,1,Vegetarian heaven! Flavorful plant-based options. Refreshing!
156,458,1,2,"Perfect for family dinner! Diverse menu, accommodating staff."
157,4041,10,4,"Disappointing. Slow service, overpriced, and lacking ambiance."
158,3645,10,3,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
159,5957,8,4,Vegetarian heaven! Flavorful plant-based options. Refreshing!
160,5717,8,3,"Disappointing. Slow service, overpriced, and lacking ambiance."
161,1581,2,8,"Loved it! Great atmosphere, service, and food."
162,9264,7,2,"Disappointing. Slow service, overpriced, and lacking ambiance."
163,2570,2,8,Fantastic for special occasions. Staff went above and beyond.
164,9307,10,2,"Perfect for family dinner! Diverse menu, accommodating staff."
165,4944,3,5,Quick and tasty! Fast-casual with fresh ingredients.
166,5164,6,9,"Ideal for a romantic dinner. Dim lighting, attentive service."
167,8516,8,6,Fantastic for special occasions. Staff went above and beyond.
168,5232,8,6,"Perfect for family dinner! Diverse menu, accommodating staff."
169,1771,5,2,Vegetarian heaven! Flavorful plant-based options. Refreshing!
170,5422,5,4,"Ideal for a romantic dinner. Dim lighting, attentive service."
171,7010,4,8,"Loved it! Great atmosphere, service, and food."
172,5043,6,4,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
173,675,3,3,"Decent selection, friendly staff. Average food. Good for a quick bite."
174,3030,4,10,"Perfect for family dinner! Diverse menu, accommodating staff."
175,6678,8,8,"Loved it! Great atmosphere, service, and food."
176,9729,9,10,Vegetarian heaven! Flavorful plant-based options. Refreshing!
177,807,4,10,Vegetarian heaven! Flavorful plant-based options. Refreshing!
178,5024,3,9,"Ideal for a romantic dinner. Dim lighting, attentive service."
179,830,3,8,"Ideal for a romantic dinner. Dim lighting, attentive service."
180,5652,1,2,Fantastic for special occasions. Staff went above and beyond.
181,4226,8,5,"Ideal for a romantic dinner. Dim lighting, attentive service."
182,9309,7,6,Must-try brunch! Creative twists on classics. Refreshing mimosas.
183,1749,6,10,Fantastic for special occasions. Staff went above and beyond.
184,5520,5,1,Vegetarian heaven! Flavorful plant-based options. Refreshing!
185,3645,7,6,Must-try brunch! Creative twists on classics. Refreshing mimosas.
186,8732,6,5,"Decent selection, friendly staff. Average food. Good for a quick bite."
187,9398,9,5,"Perfect for family dinner! Diverse menu, accommodating staff."
188,2148,9,2,Fantastic for special occasions. Staff went above and beyond.
189,1835,2,8,Vegetarian heaven! Flavorful plant-based options. Refreshing!
190,8907,7,10,Must-try brunch! Creative twists on classics. Refreshing mimosas.
191,1779,6,2,Quick and tasty! Fast-casual with fresh ingredients.
192,6698,6,7,"Ideal for a romantic dinner. Dim lighting, attentive service."
193,6907,9,6,Vegetarian heaven! Flavorful plant-based options. Refreshing!
194,4334,7,6,Vegetarian heaven! Flavorful plant-based options. Refreshing!
195,735,3,2,Vegetarian heaven! Flavorful plant-based options. Refreshing!
196,8653,5,6,Fantastic for special occasions. Staff went above and beyond.
197,1030,2,7,Quick and tasty! Fast-casual with fresh ingredients.
198,3445,9,5,Must-try brunch! Creative twists on classics. Refreshing mimosas.
199,2892,8,9,"Decent selection, friendly staff. Average food. Good for a quick bite."
200,1732,4,3,"Disappointing. Slow service, overpriced, and lacking ambiance."
201,6415,6,8,"Loved it! Great atmosphere, service, and food."
202,2339,9,6,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
203,7214,8,9,Quick and tasty! Fast-casual with fresh ingredients.
204,4392,10,1,"Ideal for a romantic dinner. Dim lighting, attentive service."
205,544,10,1,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
206,5156,3,10,Must-try brunch! Creative twists on classics. Refreshing mimosas.
207,8073,2,3,Quick and tasty! Fast-casual with fresh ingredients.
208,2023,1,9,"Decent selection, friendly staff. Average food. Good for a quick bite."
209,681,6,5,Quick and tasty! Fast-casual with fresh ingredients.
210,986,4,2,"Loved it! Great atmosphere, service, and food."
211,5299,5,9,Fantastic for special occasions. Staff went above and beyond.
212,5864,2,10,"Perfect for family dinner! Diverse menu, accommodating staff."
213,7009,2,9,Fantastic for special occasions. Staff went above and beyond.
214,7795,2,3,Vegetarian heaven! Flavorful plant-based options. Refreshing!
215,1303,4,7,"Disappointing. Slow service, overpriced, and lacking ambiance."
216,9593,6,2,"Perfect for family dinner! Diverse menu, accommodating staff."
217,2149,1,6,"Decent selection, friendly staff. Average food. Good for a quick bite."
218,4743,7,10,Quick and tasty! Fast-casual with fresh ingredients.
219,7626,10,4,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
220,4285,10,5,Quick and tasty! Fast-casual with fresh ingredients.
221,4735,10,5,"Ideal for a romantic dinner. Dim lighting, attentive service."
222,3060,3,1,"Decent selection, friendly staff. Average food. Good for a quick bite."
223,959,6,10,"Ideal for a romantic dinner. Dim lighting, attentive service."
224,5004,8,6,"Disappointing. Slow service, overpriced, and lacking ambiance."
225,8410,10,6,"Decent selection, friendly staff. Average food. Good for a quick bite."
226,4108,2,9,"Loved it! Great atmosphere, service, and food."
227,9549,7,8,Fantastic for special occasions. Staff went above and beyond.
228,3990,4,3,Quick and tasty! Fast-casual with fresh ingredients.
229,4694,9,9,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
230,2371,8,1,"Decent selection, friendly staff. Average food. Good for a quick bite."
231,649,2,2,Must-try brunch! Creative twists on classics. Refreshing mimosas.
232,4973,3,9,"Perfect for family dinner! Diverse menu, accommodating staff."
233,2691,8,3,Must-try brunch! Creative twists on classics. Refreshing mimosas.
234,7438,5,9,Fantastic for special occasions. Staff went above and beyond.
235,2492,6,8,Fantastic for special occasions. Staff went above and beyond.
236,1515,9,3,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
237,4358,7,9,Fantastic for special occasions. Staff went above and beyond.
238,2287,6,5,"Perfect for family dinner! Diverse menu, accommodating staff."
239,347,10,2,Quick and tasty! Fast-casual with fresh ingredients.
240,4922,8,1,Quick and tasty! Fast-casual with fresh ingredients.
241,6237,10,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
242,4128,3,3,"Ideal for a romantic dinner. Dim lighting, attentive service."
243,8029,3,5,"Loved it! Great atmosphere, service, and food."
244,8675,4,6,"Loved it! Great atmosphere, service, and food."
245,250,9,5,"Disappointing. Slow service, overpriced, and lacking ambiance."
246,6549,10,5,"Decent selection, friendly staff. Average food. Good for a quick bite."
247,1026,5,5,"Loved it! Great atmosphere, service, and food."
248,8981,9,7,Must-try brunch! Creative twists on classics. Refreshing mimosas.
249,5860,8,5,"Disappointing. Slow service, overpriced, and lacking ambiance."
250,9604,10,6,"Perfect for family dinner! Diverse menu, accommodating staff."
251,1095,7,9,"Perfect for family dinner! Diverse menu, accommodating staff."
252,4782,8,6,"Perfect for family dinner! Diverse menu, accommodating staff."
253,2724,6,5,"Disappointing. Slow service, overpriced, and lacking ambiance."
254,862,3,1,Quick and tasty! Fast-casual with fresh ingredients.
255,500,4,7,Quick and tasty! Fast-casual with fresh ingredients.
256,5985,2,7,"Decent selection, friendly staff. Average food. Good for a quick bite."
257,3983,9,9,Fantastic for special occasions. Staff went above and beyond.
258,6255,2,5,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
259,9024,1,4,"Loved it! Great atmosphere, service, and food."
260,5162,4,9,"Disappointing. Slow service, overpriced, and lacking ambiance."
261,6390,10,5,Must-try brunch! Creative twists on classics. Refreshing mimosas.
262,6734,7,9,"Loved it! Great atmosphere, service, and food."
263,4567,2,8,"Perfect for family dinner! Diverse menu, accommodating staff."
264,3331,9,8,"Decent selection, friendly staff. Average food. Good for a quick bite."
265,1469,2,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
266,9361,8,3,Fantastic for special occasions. Staff went above and beyond.
267,21,4,3,"Perfect for family dinner! Diverse menu, accommodating staff."
268,3644,6,3,"Perfect for family dinner! Diverse menu, accommodating staff."
269,4309,8,7,Must-try brunch! Creative twists on classics. Refreshing mimosas.
270,4055,5,8,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
271,9944,7,9,"Perfect for family dinner! Diverse menu, accommodating staff."
272,7213,3,1,Vegetarian heaven! Flavorful plant-based options. Refreshing!
273,6375,2,9,Fantastic for special occasions. Staff went above and beyond.
274,6880,8,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
275,9586,1,6,"Loved it! Great atmosphere, service, and food."
276,7312,3,7,"Disappointing. Slow service, overpriced, and lacking ambiance."
277,7633,5,6,Vegetarian heaven! Flavorful plant-based options. Refreshing!
278,4328,1,7,"Ideal for a romantic dinner. Dim lighting, attentive service."
279,4254,3,9,"Decent selection, friendly staff. Average food. Good for a quick bite."
280,7989,5,1,"Ideal for a romantic dinner. Dim lighting, attentive service."
281,4138,10,4,"Loved it! Great atmosphere, service, and food."
282,417,3,8,Vegetarian heaven! Flavorful plant-based options. Refreshing!
283,6027,2,2,Vegetarian heaven! Flavorful plant-based options. Refreshing!
284,4129,7,6,"Decent selection, friendly staff. Average food. Good for a quick bite."
285,3483,8,3,"Perfect for family dinner! Diverse menu, accommodating staff."
286,3410,9,6,Must-try brunch! Creative twists on classics. Refreshing mimosas.
287,4298,10,4,"Disappointing. Slow service, overpriced, and lacking ambiance."
288,8332,10,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
289,2480,9,1,Fantastic for special occasions. Staff went above and beyond.
290,6261,3,3,Vegetarian heaven! Flavorful plant-based options. Refreshing!
291,3456,10,4,"Ideal for a romantic dinner. Dim lighting, attentive service."
292,4845,9,7,"Loved it! Great atmosphere, service, and food."
293,1488,1,1,"Loved it! Great atmosphere, service, and food."
294,4737,1,4,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
295,3698,5,2,"Disappointing. Slow service, overpriced, and lacking ambiance."
296,1341,8,10,Quick and tasty! Fast-casual with fresh ingredients.
297,7583,2,8,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
298,9897,1,6,Fantastic for special occasions. Staff went above and beyond.
299,9950,8,8,Quick and tasty! Fast-casual with fresh ingredients.
300,8368,5,10,Must-try brunch! Creative twists on classics. Refreshing mimosas.
301,6364,10,7,"Disappointing. Slow service, overpriced, and lacking ambiance."
302,5235,4,7,Must-try brunch! Creative twists on classics. Refreshing mimosas.
303,7434,3,4,"Disappointing. Slow service, overpriced, and lacking ambiance."
304,1664,10,2,"Decent selection, friendly staff. Average food. Good for a quick bite."
305,8783,6,10,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
306,8628,3,2,Must-try brunch! Creative twists on classics. Refreshing mimosas.
307,5589,5,3,"Decent selection, friendly staff. Average food. Good for a quick bite."
308,2860,3,3,"Ideal for a romantic dinner. Dim lighting, attentive service."
309,9380,9,1,Fantastic for special occasions. Staff went above and beyond.
310,840,5,7,Vegetarian heaven! Flavorful plant-based options. Refreshing!
311,4955,7,10,Fantastic for special occasions. Staff went above and beyond.
312,3983,8,2,"Loved it! Great atmosphere, service, and food."
313,7243,7,5,"Ideal for a romantic dinner. Dim lighting, attentive service."
314,3279,6,8,Vegetarian heaven! Flavorful plant-based options. Refreshing!
315,6264,8,4,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
316,7154,1,8,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
317,9346,1,8,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
318,5495,4,10,"Loved it! Great atmosphere, service, and food."
319,4308,9,2,"Disappointing. Slow service, overpriced, and lacking ambiance."
320,6253,6,7,Vegetarian heaven! Flavorful plant-based options. Refreshing!
321,6603,6,9,Fantastic for special occasions. Staff went above and beyond.
322,7003,7,3,"Ideal for a romantic dinner. Dim lighting, attentive service."
323,3940,1,9,"Disappointing. Slow service, overpriced, and lacking ambiance."
324,9128,10,1,Must-try brunch! Creative twists on classics. Refreshing mimosas.
325,4540,9,4,"Loved it! Great atmosphere, service, and food."
326,8309,9,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
327,9248,2,8,Quick and tasty! Fast-casual with fresh ingredients.
328,1592,10,5,"Disappointing. Slow service, overpriced, and lacking ambiance."
329,2602,5,3,"Ideal for a romantic dinner. Dim lighting, attentive service."
330,1990,6,8,"Decent selection, friendly staff. Average food. Good for a quick bite."
331,7534,7,10,Quick and tasty! Fast-casual with fresh ingredients.
332,6326,1,6,Must-try brunch! Creative twists on classics. Refreshing mimosas.
333,8231,7,5,"Loved it! Great atmosphere, service, and food."
334,7319,10,4,Quick and tasty! Fast-casual with fresh ingredients.
335,6673,8,3,Quick and tasty! Fast-casual with fresh ingredients.
336,4241,8,9,"Perfect for family dinner! Diverse menu, accommodating staff."
337,8202,4,3,"Disappointing. Slow service, overpriced, and lacking ambiance."
338,8514,10,10,Quick and tasty! Fast-casual with fresh ingredients.
339,815,2,8,Fantastic for special occasions. Staff went above and beyond.
340,5489,4,6,"Loved it! Great atmosphere, service, and food."
341,6960,6,5,Quick and tasty! Fast-casual with fresh ingredients.
342,9759,5,9,"Ideal for a romantic dinner. Dim lighting, attentive service."
343,493,10,10,Vegetarian heaven! Flavorful plant-based options. Refreshing!
344,2449,6,4,"Loved it! Great atmosphere, service, and food."
345,3363,5,5,Fantastic for special occasions. Staff went above and beyond.
346,5497,9,10,Vegetarian heaven! Flavorful plant-based options. Refreshing!
347,3732,3,4,Must-try brunch! Creative twists on classics. Refreshing mimosas.
348,8742,3,4,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
349,9386,9,8,"Decent selection, friendly staff. Average food. Good for a quick bite."
350,2478,3,6,"Perfect for family dinner! Diverse menu, accommodating staff."
351,9894,4,2,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
352,7268,9,1,"Perfect for family dinner! Diverse menu, accommodating staff."
353,6407,10,3,"Decent selection, friendly staff. Average food. Good for a quick bite."
354,4006,5,10,"Loved it! Great atmosphere, service, and food."
355,5324,3,7,"Loved it! Great atmosphere, service, and food."
356,3802,5,7,"Perfect for family dinner! Diverse menu, accommodating staff."
357,6583,7,5,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
358,7099,10,1,"Perfect for family dinner! Diverse menu, accommodating staff."
359,8962,1,10,"Loved it! Great atmosphere, service, and food."
360,9222,9,4,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
361,9132,7,10,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
362,4792,2,5,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
363,4277,1,6,"Perfect for family dinner! Diverse menu, accommodating staff."
364,5804,2,8,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
365,312,1,3,"Decent selection, friendly staff. Average food. Good for a quick bite."
366,6522,4,3,"Disappointing. Slow service, overpriced, and lacking ambiance."
367,8442,6,10,"Disappointing. Slow service, overpriced, and lacking ambiance."
368,7467,10,4,"Ideal for a romantic dinner. Dim lighting, attentive service."
369,1152,2,5,Must-try brunch! Creative twists on classics. Refreshing mimosas.
370,5468,8,3,"Disappointing. Slow service, overpriced, and lacking ambiance."
371,2663,9,10,Fantastic for special occasions. Staff went above and beyond.
372,4098,10,2,"Ideal for a romantic dinner. Dim lighting, attentive service."
373,6080,2,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
374,2081,4,2,Vegetarian heaven! Flavorful plant-based options. Refreshing!
375,2738,5,5,Must-try brunch! Creative twists on classics. Refreshing mimosas.
376,6144,1,3,"Perfect for family dinner! Diverse menu, accommodating staff."
377,6082,7,8,"Loved it! Great atmosphere, service, and food."
378,1430,9,3,"Perfect for family dinner! Diverse menu, accommodating staff."
379,5518,2,4,Vegetarian heaven! Flavorful plant-based options. Refreshing!
380,6863,7,6,"Perfect for family dinner! Diverse menu, accommodating staff."
381,5956,10,5,"Decent selection, friendly staff. Average food. Good for a quick bite."
382,4821,10,8,"Loved it! Great atmosphere, service, and food."
383,7204,7,2,"Ideal for a romantic dinner. Dim lighting, attentive service."
384,9097,6,7,Vegetarian heaven! Flavorful plant-based options. Refreshing!
385,2114,4,2,"Decent selection, friendly staff. Average food. Good for a quick bite."
386,3739,2,3,"Decent selection, friendly staff. Average food. Good for a quick bite."
387,9272,10,8,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
388,5105,5,10,"Ideal for a romantic dinner. Dim lighting, attentive service."
389,6248,3,1,"Perfect for family dinner! Diverse menu, accommodating staff."
390,4407,6,7,"Ideal for a romantic dinner. Dim lighting, attentive service."
391,8478,3,2,Quick and tasty! Fast-casual with fresh ingredients.
392,4235,8,2,"Local gem! Authentic flavors, welcoming atmosphere. A favorite!"
393,2754,4,4,Must-try brunch! Creative twists on classics. Refreshing mimosas.
394,6687,5,7,"Disappointing. Slow service, overpriced, and lacking ambiance."
395,5245,1,9,"Disappointing. Slow service, overpriced, and lacking ambiance."
396,4792,3,2,"Disappointing. Slow service, overpriced, and lacking ambiance."
397,7223,2,1,"Decent selection, friendly staff. Average food. Good for a quick bite."
398,3943,2,10,"Ideal for a romantic dinner. Dim lighting, attentive service."
399,2506,10,1,"Disappointing. Slow service, overpriced, and lacking ambiance."
